Suquelish Dykailum 




Pasdipian Roedars Suquis Dykailum ont Telmnig Jorvil






English-Suquelleon
Ganyon-Suquis


 A: E
Abandon: daffurin
Abbreviate: ubbendahseet
Abbreviation: ubendahseetin
Ability: Stromahtio
Able: Stromah
Abort: tamloof
Abortion: Tamloofin
About: Ombek
Above: Skykah
Abrupt: klangoot
Absence: Neekoesh
Absent: Neekoet
Absolute: finahzibe
Absolutely: finahzibly
Absorb: sokahb
Absorbed: sokaht
Abstain: joreem
Abstract: nofram
Absurd: ridish
Absurdity: Ridisholy
Abundant: luxevent
Abuse: pummil
Abusive: Pummilix
Academy: Koluniol
Accent: tarnish
Accept: impraze
Accepted imprazet
Accident: joobiah
Accidental: Joobiahla
Accidentally: Joobiahlee
Accommodate: hostrivovat
Accommodated: hostrivovatid
Accommodation: hostrivovatin
Accompany: oblernavee
Accomplish: Viktorchay
Accomplishment: Viktorchatent
Accord: dekry
According: dekrynig
Accumulate: kohortalit
Accuracy: Bulziffiny
Accurate: bulziffin
Accusation: sabenorum
Accuse: Saben
Accustom: yeldreemah 
Accustomed: yeldreemaht
Ache: Blung
Achieve: Quwahtel
Achievement: Quwahtelpent
Acid: Dykrode
Acknowledge: Seerekeeff
Acknowledgement: Seerekeepent
Acqaintance: famqisteel
Acquaint: famqist
Acquainted: famqistid
Acquire: Requah
Across: yojeen
Act: Preet
Action: Preetoyn
Active: Preetive
Actively: Preetively
Actor: Preeteer
Actress: Preeteeris
Actual: Preetiol
Actually Preetiolly
Acupuncture: Tsuboe
Acute: zuden
Add: Joym
Addition: Joymoyn
Additional: Joymoynel
Address: Streplise
Adequate: Sawikkio 
Administer: gavlopamat
Administration: gavlopamatoyn
Admire: envoyet
Admirer: envoyetor
Admit: Konflist
Adopt: Taykeen
Adopted: Taykeent
Adore: Mirdorj
Adult: Gronex
Advance: Armooch
Advancement: Armoopent
Advantage: Armoochay
Adversary: Bandoroot 
Adversity: Bandorliffah
Advertise: Abrahshook
Advertisement: Abrahshoopent
Advice: Konslet
Affect: bordosh
Affected : bordosht
Affection: lovustpin
Affectionate: Lovustpinate
Affirm: Galliff
Affirmative: Gallifarone
Affirmatively: Gallifaroni
Afresh: newtat
After: ahflum
Afterward: ahflumit
Again: ohjinn
Against: Ohjinst
Age: gelm
Agency: helvani
Agent: Helvant
Aggession: Attikpin
Aggressive: Attikkole
Agitate: Yahqondi
Agitation: Yahqondipin
Ago: Oroe
Agony: pankavi
Agraculture: Profamatoor
Agree: Galziff
Agreeable: Galziffitale
Agreement: Galziffunt
Ahead: Ebaraid
Aid: Rimp
Aim: Brote
Aimless: Brotliss
Air Force: Avaswen
Air: bruth
Airplane: Bruthlinch
Airy: Bruthi
Alarm: siren
Album: diskut
Alcohol: Burbanol
Algabra: Ilgajah
Alien: foroonan
Alike: Ekile
All: eel
Alley: Twix
Allot: Elzet
Allow: Permeez
Allure: Tempoor
Alluring: Tempoornig
Ally: Twixy
Almond: nurbin
Alone: eloom
Along: echmog
Aloud: Edos
Alphabet: olfatek
Already: sergeeno
Alright: Eeltahj 
Also: Solah
Alter: tutursh
Alteration: turturshpin
Alternate: Turtushate
Although: zorvain
